City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
552,oksovskiy,62.6062,39.8984,-25.11,99,97,1.82,RU,1673213493
553,livny,52.4253,37.6069,-17.61,92,24,1.54,RU,1673213493
554,broken hill,-31.95,141.4333,30.27,20,97,4.78,AU,1673213494
555,ajdabiya,30.7554,20.2263,14.47,74,0,3.26,LY,1673213494
556,tombouctou,20.0,-3.0,18.74,13,100,6.74,ML,1673213494
557,kerouane,9.2667,-9.0167,24.24,25,7,1.09,GN,1673213494
558,mindyak,54.0231,58.7891,-30.58,96,99,2.12,RU,1673213494
559,provo,40.2338,-111.6585,7.9,49,20,4.12,US,1673213495
560,reconquista,-29.15,-59.65,36.4,15,43,2.47,AR,1673213495
561,uglovoye,43.3289,132.0917,-16.98,85,36,4.0,RU,1673213495
562,severobaykalsk,55.65,109.3167,-12.97,95,100,1.43,RU,1673213496
563,sheltozero,61.3667,35.3667,-19.18,94,13,3.96,RU,1673213496
564,dunedin,-45.8742,170.5036,15.45,95,0,5.74,NZ,1673213496
565,hamilton,39.1834,-84.5333,5.14,67,100,3.6,US,1673213496
566,santa cruz cabralia,-16.2781,-39.0247,26.13,89,40,4.63,BR,1673213497
567,shelburne,44.0787,-80.2041,-2.75,95,100,2.16,CA,1673213497
568,thayetmyo,19.3167,95.1833,18.61,67,0,2.2,MM,1673213497
569,kununurra,-15.7667,128.7333,23.99,94,1,2.06,AU,1673213497
570,oistins,13.0667,-59.5333,26.05,83,20,6.69,BB,1673213497
571,ambilobe,-13.2,49.05,22.89,94,25,1.45,MG,1673213497
572,korla,41.7597,86.1469,-3.89,47,79,1.3,CN,1673213497
573,ugrinovci,44.8783,20.1869,9.47,75,0,3.09,RS,1673213498
